"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2333","test_date_picker[firefox]","tests","Sun Nov 02 21:40:24 MSK 2025","passed","Sun Nov 02 21:40:26 MSK 2025","TestCase6","test_case6","",""
"","3329","test_handles[chrome]","tests","Sun Nov 02 21:39:05 MSK 2025","passed","Sun Nov 02 21:39:09 MSK 2025","TestCase4","test_case4","",""
"","9374","test_slider_progress_bar[firefox]","tests","Sun Nov 02 21:39:58 MSK 2025","passed","Sun Nov 02 21:40:07 MSK 2025","TestCase5","test_case5","",""
"","2961","test_handles[edge]","tests","Sun Nov 02 21:39:12 MSK 2025","passed","Sun Nov 02 21:39:15 MSK 2025","TestCase4","test_case4","",""
"","1751","test_date_picker[chrome]","tests","Sun Nov 02 21:40:11 MSK 2025","passed","Sun Nov 02 21:40:13 MSK 2025","TestCase6","test_case6","",""
"","2757","test_tables[edge]","tests","Sun Nov 02 21:38:51 MSK 2025","passed","Sun Nov 02 21:38:53 MSK 2025","TestCase3","test_case3","",""
"","9937","test_slider_progress_bar[chrome]","tests","Sun Nov 02 21:39:28 MSK 2025","passed","Sun Nov 02 21:39:38 MSK 2025","TestCase5","test_case5","",""
"","1710","test_date_picker[edge]","tests","Sun Nov 02 21:40:16 MSK 2025","passed","Sun Nov 02 21:40:18 MSK 2025","TestCase6","test_case6","",""
"","2127","test_iframe[edge]","tests","Sun Nov 02 21:38:30 MSK 2025","passed","Sun Nov 02 21:38:32 MSK 2025","TestCase2","test_case2","",""
"","2360","test_iframe[firefox]","tests","Sun Nov 02 21:38:39 MSK 2025","passed","Sun Nov 02 21:38:41 MSK 2025","TestCase2","test_case2","",""
"","1586","test_alerts[firefox]","tests","Sun Nov 02 21:38:20 MSK 2025","passed","Sun Nov 02 21:38:22 MSK 2025","TestCase1","test_case1","",""
"","2053","test_alerts[chrome]","tests","Sun Nov 02 21:38:07 MSK 2025","passed","Sun Nov 02 21:38:09 MSK 2025","TestCase1","test_case1","",""
"","3400","test_handles[firefox]","tests","Sun Nov 02 21:39:21 MSK 2025","passed","Sun Nov 02 21:39:24 MSK 2025","TestCase4","test_case4","",""
"","2819","test_tables[chrome]","tests","Sun Nov 02 21:38:45 MSK 2025","passed","Sun Nov 02 21:38:47 MSK 2025","TestCase3","test_case3","",""
"","2164","test_tables[firefox]","tests","Sun Nov 02 21:39:00 MSK 2025","passed","Sun Nov 02 21:39:02 MSK 2025","TestCase3","test_case3","",""
"","1627","test_alerts[edge]","tests","Sun Nov 02 21:38:12 MSK 2025","passed","Sun Nov 02 21:38:14 MSK 2025","TestCase1","test_case1","",""
"","2178","test_iframe[chrome]","tests","Sun Nov 02 21:38:25 MSK 2025","passed","Sun Nov 02 21:38:27 MSK 2025","TestCase2","test_case2","",""
"","10640","test_slider_progress_bar[edge]","tests","Sun Nov 02 21:39:41 MSK 2025","passed","Sun Nov 02 21:39:52 MSK 2025","TestCase5","test_case5","",""
